datetime,avg_ping,min_ping,max_ping,mdev_ping
2022-03-30T17:53:52.355495,27.963,,,
2022-03-30T17:53:59.412107,20.447,,,
2022-03-30T17:54:08.811860,20.164,,,
2022-03-30T17:54:14.912825,13.295,,,
2022-03-30T17:54:21.976755,32.781,,,
2022-03-30T17:54:30.934129,21.022,,,
2022-03-30T17:54:39.036922,20.163,,,
2022-03-30T17:54:47.586350,29.593,,,
2022-03-30T17:54:55.906937,27.088,,,
2022-03-30T17:55:04.285712,20.827,,,
2022-03-30T17:55:12.515777,25.605,,,
2022-03-30T17:55:20.739074,20.751,,,
2022-03-30T17:55:28.921352,19.748,,,
2022-03-30T17:55:36.263145,27.175,,,
2022-03-30T17:55:43.779944,23.378,,,
2022-03-30T17:55:52.257842,25.035,,,
2022-03-30T17:56:05.688687,25.697,,,
2022-03-30T17:56:13.968799,30.730,,,
2022-03-30T17:56:22.137008,29.026,,,
2022-03-30T17:56:31.351297,27.432,,,
2022-03-30T17:56:39.650651,25.106,,,
2022-03-30T17:56:47.228739,19.500,,,
2022-03-30T17:56:55.503702,27.217,,,
2022-03-30T17:57:03.855127,22.100,,,
2022-03-30T17:57:11.010511,24.594,,,
2022-03-30T18:34:16.185515,15.260,,,

2022-03-30T20:42:19.848662,14.340,12.153,17.291,1.487
2022-03-30T20:42:32.257100,13.444,12.072,14.721,0.971
2022-03-30T20:42:50.086547,16.140,13.065,31.106,5.716
2022-03-30T20:43:07.998991,22.758,13.283,33.658,8.876
2022-03-30T20:43:32.011976,20.107,12.907,32.179,8.355
2022-03-30T20:43:47.525825,22.615,12.040,34.169,9.683
2022-03-30T20:44:04.546525,17.759,11.935,34.088,7.424
2022-03-30T20:44:22.046827,19.231,12.939,35.093,9.139
2022-03-30T20:44:47.156302,22.681,12.834,31.246,8.214
2022-03-30T20:44:59.551328,18.221,12.566,32.083,6.527
2022-03-30T20:45:16.739257,18.787,13.747,29.212,6.343
2022-03-30T20:45:33.904213,17.298,12.199,32.068,6.276
2022-03-30T20:46:04.734020,20.689,13.085,36.758,8.854
2022-03-30T20:46:17.455667,14.834,13.712,16.375,1.041
2022-03-30T20:46:34.895590,17.218,15.122,22.816,2.822
2022-03-30T20:46:52.046385,18.426,13.807,30.145,5.130
2022-03-30T20:47:21.135848,20.466,13.515,34.655,8.915
2022-03-30T20:47:37.584589,15.945,13.977,17.959,1.306
2022-03-30T20:47:54.785273,23.899,14.502,33.094,7.830
2022-03-30T20:48:11.979249,19.610,13.094,32.213,7.009
2022-03-30T21:06:33.566922,18.415,12.033,33.078,7.136
2022-03-30T21:14:14.105640,26.154,14.961,34.203,8.904
2022-03-30T22:14:15.129398,18.959,13.251,32.197,7.075
